group,n_trajectories,n_behavior,n_objective_ready,n_outcome,mean_activity,mean_evaluations,mean_training_experiments,mean_valid_objective_pairs,mean_objective_changes,objective_change_rate
Claude,463,455,259,390,30.060475161987043,2.1079913606911447,3.1317494600431965,2.4449244060475164,0.038876889848812095,0.015901060070671377
Codex,369,369,227,344,39.00271002710027,1.4065040650406504,4.8102981029810294,2.5555555555555554,0.03523035230352303,0.013785790031813362
GLM-X,84,84,3,82,28.845238095238095,1.119047619047619,0.14285714285714285,0.03571428571428571,0.0,0.0
OpenCode,394,364,275,280,14.946700507614214,1.1091370558375635,4.49238578680203,3.581218274111675,0.01015228426395939,0.002834868887313962
Qwen3Max,28,28,28,8,12.535714285714286,0.2857142857142857,3.7142857142857144,2.4285714285714284,0.0,0.0
