group,n_trajectories,n_behavior,n_objective_ready,n_outcome,mean_activity,mean_evaluations,mean_training_experiments,mean_valid_objective_pairs,mean_objective_changes,objective_change_rate
Gemma-3-4B-PT,337,325,184,279,25.95252225519288,1.5637982195845697,3.7181008902077153,2.3234421364985165,0.017804154302670624,0.007662835249042145
Qwen3-1.7B-Base,328,318,202,280,30.3140243902439,1.6128048780487805,4.051829268292683,3.0213414634146343,0.042682926829268296,0.014127144298688193
Qwen3-4B-Base,335,324,193,271,28.31940298507463,1.51044776119403,3.7761194029850746,2.755223880597015,0.020895522388059702,0.007583965330444204
SmolLM3-3B-Base,338,333,213,274,26.026627218934912,1.3964497041420119,3.739644970414201,2.544378698224852,0.023668639053254437,0.009302325581395349
