benchmark,initial_objective,n,mean_final_metric,benchmark_mean,mean_centered_outcome
AIME 2025,reward_optimization,1,0.03333333333333333,0.024752475247524754,0.00858085808580858
AIME 2025,supervised_likelihood,100,0.024666666666666667,0.024752475247524754,-8.580858085808613e-05
ArenaHardWriting,supervised_likelihood,102,0.10252485330533359,0.10252485330533359,-6.802837160693361e-19
BFCL,supervised_likelihood,92,0.6226086956521739,0.6226086956521739,-1.206764157201257e-18
GPQA Main,reward_optimization,2,0.2767857142857143,0.24100425170068027,0.03578146258503402
GPQA Main,supervised_likelihood,103,0.24030946601941747,0.24100425170068027,-0.000694785681262791
GSM8K,supervised_likelihood,110,0.45255565511062096,0.45255565511062096,3.532527805625498e-17
HealthBench,supervised_likelihood,96,0.23129657053337968,0.23129657053337968,-3.3248866622888804e-18
HumanEval,supervised_likelihood,103,0.34977504143973476,0.34977504143973476,2.6408217576035278e-17
