scaffold,benchmark,base_model_count,base_models,budget_hours,resource,n_trajectories,n_trained_trajectories,n_initial_method_identified,initial_method_identification_coverage,dominant_initial_method,dominant_initial_method_count,dominant_initial_method_share_among_identified,verified_training_commands,n_training_commands_method_identified,training_command_method_identification_coverage,dominant_training_command_method,dominant_training_command_count,dominant_training_command_share_among_identified,objective_switches,valid_objective_pairs,objective_switch_rate,n_trajectories_with_objective_switch,n_final_scores,mean_final_score,mean_best_score,score_scope,mean_training_commands_per_trained_trajectory,mean_evaluation_commands_per_trained_trajectory,initial_full_sft_count,command_full_sft_count,initial_peft_sft_count,command_peft_sft_count,initial_rl_count,command_rl_count,initial_preference_count,command_preference_count,initial_distillation_count,command_distillation_count
Claude,All seven Pilot benchmarks,4,Gemma-3-4B-PT; Qwen3-1.7B-Base; Qwen3-4B-Base; SmolLM3-3B-Base,10.0,1x NVIDIA H100 80GB,463,266,202,0.7593984962406015,full_sft,163,0.806930693069307,1450,621,0.4282758620689655,full_sft,441,0.7101449275362319,18,1132,0.015901060070671377,8,,,,not pooled across benchmarks,5.451127819548872,21.530075187969924,163,441,32,154,5,19,0,5,2,2
Codex,All seven Pilot benchmarks,4,Gemma-3-4B-PT; Qwen3-1.7B-Base; Qwen3-4B-Base; SmolLM3-3B-Base,10.0,1x NVIDIA H100 80GB,369,320,299,0.934375,peft_sft,268,0.8963210702341137,1775,1480,0.8338028169014085,peft_sft,1359,0.9182432432432432,13,943,0.013785790031813362,5,,,,not pooled across benchmarks,5.546875,16.6375,23,87,268,1359,2,11,5,15,1,8
GLM-X,All seven Pilot benchmarks,4,Gemma-3-4B-PT; Qwen3-1.7B-Base; Qwen3-4B-Base; SmolLM3-3B-Base,10.0,1x NVIDIA H100 80GB,84,6,3,0.5,peft_sft,2,0.6666666666666666,12,4,0.3333333333333333,full_sft,3,0.75,0,3,0.0,0,,,,not pooled across benchmarks,2.0,21.666666666666668,1,3,2,0,0,0,0,0,0,1
OpenCode,All seven Pilot benchmarks,4,Gemma-3-4B-PT; Qwen3-1.7B-Base; Qwen3-4B-Base; SmolLM3-3B-Base,10.0,1x NVIDIA H100 80GB,394,280,273,0.975,full_sft,181,0.663003663003663,1770,1458,0.823728813559322,full_sft,883,0.6056241426611797,4,1411,0.002834868887313962,3,,,,not pooled across benchmarks,6.321428571428571,7.139285714285714,181,883,92,554,0,4,0,17,0,0
Qwen3Max,All seven Pilot benchmarks,4,Gemma-3-4B-PT; Qwen3-1.7B-Base; Qwen3-4B-Base; SmolLM3-3B-Base,10.0,1x NVIDIA H100 80GB,28,28,6,0.21428571428571427,peft_sft,5,0.8333333333333334,104,12,0.11538461538461539,peft_sft,11,0.9166666666666666,0,68,0.0,0,,,,not pooled across benchmarks,3.7142857142857144,6.428571428571429,1,1,5,11,0,0,0,0,0,0
